id_unidade;nome_unidade;nome_abreviado_unidade;email_unidade;email_unidade_2;email_unidade_3;telefone_1_unidade;telefone_2_unidade;cie_prodesp_unidade;nome_prodesp_sed;conveniada;nome_unidade_SOMAR;id_unidade_SOMAR;transporte_grupo_atendimento;endereco;endereco_numero;endereco_complemento;endereco_bairro;endereco_cep;regiao_SE_descricao;endereco_google;latitude;longitude;modalidade;Niveis_Integral;Niveis_Parcial;Niveis_Noite;unidades_dif_acesso
342;ABASC;ABASC;crechemaoamiga@abasc.com.br;administrativo@abasc.com.br;centrodeapoiomaoamiga@gmail.com;4336-3416;4822-2885;7475;ABASC MÃO AMIGA;1;Creche Parceira ABASC;664;G3;Rua Josue de Castro;153;;Las Palmas;;Jd. Orquídeas;-23.75795 -46.6052;-23.75795;-46.6052;CC;Berçário Inicial,Berçário Final,Infantil I,Infantil II;;;
513;ABASC 2;ABASC 2;crecheriachogrande@abasc.com.br;;;;;9461;ABASC- ASSOCIAÇÃO BRASILEIRA DE AÇÃO SOCIAL CRISTÃ - MÃO AMIGA II;1;Creche Parceira ABASC II;672;G4;Rua Rio Acima;35;;Riacho Grande;;Parque Estoril, Riacho Grande e Finco;-23.77826 -46.52864;-23.77826;-46.52864;CC;Berçário Final,Infantil I,Infantil II;;;
518;ABASC 3;ABASC 3;administrativo@abasc.com.br;;;48222885;;10540;ABASC III – Associação Brasileira de Ação Social Cristã;1;Creche Parceira ABASC III;684;G3;Avenida Rosa Aizemberg;613;;Vila Rosa;09862-305;;-23.70141 -46.58326;-23.70141;-46.58326;CC;Berçário Inicial,Berçário Final,Infantil I;;;
340;ABEF- Associacao Beneficente Fidelidade;ABEF;abefidelidade@gmail.com;abefidelidade@yahoo.com.br;izatera@msn.com;1197130-2462 ;98994-4739;7427;ABEF - ASSOCIACAO BENEFICENTE FIDELIDADE;1;Creche Parceira ABEF;663;G1;Rua dos Vianas;3184;;Parque São Bernardo;09761-000;Jardim Farina, Parque São Bernardo e Alto Industrial;-23.70756 -46.52357;-23.70756;-46.52357;CC;Infantil I,Infantil II;;;
3;Afonso Monteiro da Cruz, EMEB;Afonso Monteiro;afonso.cruz@saobernardo.sp.gov.br;;;4347-7586;;430110;AFONSO MONTEIRO DA CRUZ EMEB;0;Afonso Monteiro da Cruz - EMEB;392;G2;Rua Valdomiro Luiz;175;;Nossa Senhora de Fatima, Vila;09820-340;Terra Nova e Jd. Nossa Senhora de Fátima;-23.74396 -46.56576;-23.74396;-46.56576;C;Berçário Inicial,Berçário Final,Infantil I,Infantil II;;;3 OR 149 OR 168
15;Agostinho dos Santos, EMEB;Agostinho dos S;agostinho.santos@saobernardo.sp.gov.br;;;4335-5304;;448552;AGOSTINHO DOS SANTOS EMEB;0;Agostinho dos Santos - EMEB;538;G3;Rua  Australia;80;;Santo Ignacio, Jardim [Independencia];09861-390;Jd. Santo Ignácio;-23.70685 -46.5867;-23.70685;-46.5867;C;Berçário Final,Infantil I,Infantil II;;;15 OR 100 OR 158
4;Aldino Pinotti, EMEB;Aldino Pinotti;aldino@saobernardo.sp.gov.br;;;4332-7537;;51056;ALDINO PINOTTI EMEB;0;Aldino Pinotti - EMEB;2;G1;Rua dos Vianas;2399;;Farina, Jardim [Baeta neves];09760-510;Jardim Farina, Parque São Bernardo e Alto Industrial;-23.70609 -46.53193;-23.70609;-46.53193;I;;Infantil III,Infantil IV,Infantil V;;
5;Aldino Pinotti, EMEB Prefeito;Aldino Prefeito;aldino.prefeito@saobernardo.sp.gov.br;;;4330-2374;;217645;ALDINO PINOTTI PREFEITO EMEB;0;Aldino Pinotti, Prefeito - EMEB;3;G5;Rua Antonio Simionato;103;;Santa Terezinha;09780-180;Centro;-23.71294 -46.54058;-23.71294;-46.54058;FE;;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;
6;Alfredo Scarpelli, EMEB;Alfredo Scarpelli;alfredo.scarpelli@saobernardo.sp.gov.br;;;4357-5196;;282017;ALFREDO SCARPELLI EMEB;0;Alfredo Scarpelli - EMEB;144;G3;R. Cachoeiro de Itapemirim;S/N;;Alves Dias;09852-820;Jd. Thelma e Jd. Cláudia;-23.73412 -46.5845;-23.73412;-46.5845;FE;;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;
7;Alice do Lago Goncalves Salvador, EMEB Profa.;Alice do Lago;alice.lago@saobernardo.sp.gov.br;;;4345-1847;;96568;ALICE DO LAGO GONCALVES SALVADOR PROFESSORA EMEB;0;Alice do Lago Gonçalves Salvador, Professora - EMEB;4;G1;Rua da Educação;S/N;Altura No. 70;Montanhão;09847-315;Vila São Pedro, Vila Esperança e Jardim Irajá;-23.72591 -46.52463;-23.72591;-46.52463;I;Infantil III,Infantil IV,Infantil V;;;
8;Aluisio de Azevedo, EMEB;Aluisio de Azevedo;aluisio.azevedo@saobernardo.sp.gov.br;;;4341-4511;;50748;ALUISIO DE AZEVEDO EMEB;0;Aluísio de Azevedo - EMEB;5;G3;Rua Cabral da Camara;57;;Calux, Jardim [Planalto];09895-200;Planalto;-23.70296 -46.57198;-23.70296;-46.57198;CI;Infantil I,Infantil II,Infantil III,Infantil IV,Infantil V;;;
320;Alzira Martins de Mendonca, EMEB (Silvina Creche);Alzira M Mendonca;alzira.mendonca@saobernardo.sp.gov.br;;;2630-5220;;587965;ALZIRA MARTINS DE MENDONCA PROFESSORA EMEB;0;Alzira Martins de Mendonça, Professora - EMEB;588;G5;Rua Leo Comissari;550;;Silvina;09791-006;Jd. Silvina;-23.7452 -46.53876;-23.7452;-46.53876;CI;Berçário Final,Infantil I,Infantil II,Infantil III,Infantil IV,Infantil V;;;
10;Ana Henriqueta Clark Marim, EMEB;Ana Henriqueta;ana.henriqueta@saobernardo.sp.gov.br;;;4122-1506;;61888;ANA HENRIQUETA CLARK MARIM PROFESSORA EMEB;0;Ana Henriqueta Clark Marim, Professora - EMEB;6;G1;Rua Sabino Demarchi;50;;Industrial, Jardim;09762-040;Jardim Farina, Parque São Bernardo e Alto Industrial;-23.70729 -46.52103;-23.70729;-46.52103;I;;Infantil III,Infantil IV,Infantil V;;10 OR 48
